Figure Type: line chart
QA Type: closed-ended infinite answer set non-visual
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"


Figure Type: scatter plot
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"scatter plot";"closed-ended finite answer set non-binary visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"scatter plot";"closed-ended finite answer set non-binary non-visual";"0.37";"0.35";"0.67";"0.37";"0.35";"0.67";"0.87";"0.85";"0.9"
"scatter plot";"unanswerable";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"scatter plot";"closed-ended infinite answer set visual";"0.13";"0.07";"1.0";"0.13";"0.07";"1.0";"0.8";"0.79";"0.82"
"scatter plot";"closed-ended finite answer set non-binary non-visual";"0.37";"0.35";"0.67";"0.37";"0.35";"0.67";"0.87";"0.85";"0.9"
"scatter plot";"closed-ended infinite answer set non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.81";"0.82";"0.8"
"scatter plot";"closed-ended finite answer set binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"scatter plot";"closed-ended finite answer set non-binary non-visual";"0.37";"0.35";"0.67";"0.37";"0.35";"0.67";"0.87";"0.85";"0.9"


Figure Type: Line Chart
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Line Chart";"closed-ended finite answer set non-binary visual";"0.39";"0.53";"0.75";"0.39";"0.53";"0.75";"0.85";"0.87";"0.83"
"Line Chart";"unanswerable";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"Line Chart";"closed-ended finite answer set non-binary visual";"0.39";"0.53";"0.75";"0.39";"0.53";"0.75";"0.85";"0.87";"0.83"
"Line Chart";"closed-ended finite answer set non-binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: bar chart
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"bar chart";"closed-ended finite answer set non-binary visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"0.87";"0.86";"0.89"
"bar chart";"closed-ended finite answer set non-binary non-visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"


Figure Type: graph
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"graph";"closed-ended infinite answer set non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"graph";"closed-ended infinite answer set visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.84";"0.8";"0.88"


Figure Type: Architecture Diagram
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Architecture Diagram";"closed-ended finite answer set non-binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: confusion matrix
QA Type: closed-ended finite answer set binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"confusion matrix";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"confusion matrix";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"confusion matrix";"closed-ended finite answer set non-binary visual";"0.13";"0.07";"1.0";"0.13";"0.07";"1.0";"0.83";"0.81";"0.85"
"confusion matrix";"closed-ended finite answer set non-binary non-visual";"0.4";"1.0";"0.25";"0.4";"1.0";"0.25";"0.81";"0.88";"0.75"


Figure Type: Graph
QA Type: closed-ended infinite answer set visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"Graph";"closed-ended infinite answer set visual";"0.08";"0.04";"0.5";"0.08";"0.04";"0.5";"0.41";"0.4";"0.42"
"Graph";"closed-ended infinite answer set visual";"0.08";"0.04";"0.5";"0.08";"0.04";"0.5";"0.41";"0.4";"0.42"


Figure Type: box plot
QA Type: closed-ended finite answer set non-binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"box plot";"closed-ended finite answer set non-binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.81";"0.79";"0.83"
"box plot";"closed-ended infinite answer set non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"box plot";"closed-ended finite answer set non-binary visual";"0.5";"1.0";"0.33";"0.5";"1.0";"0.33";"0.83";"0.89";"0.77"


Figure Type: tree
QA Type: closed-ended finite answer set binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"tree";"closed-ended finite answer set binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"tree";"unanswerable";"0.17";"0.11";"0.36";"0.14";"0.09";"0.29";"0.83";"0.8";"0.85"
"tree";"closed-ended finite answer set non-binary visual";"0.5";"1.0";"0.33";"0.5";"1.0";"0.33";"0.83";"0.89";"0.77"


Figure Type: venn diagram
QA Type: closed-ended finite answer set binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"venn diagram";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: neural networks
QA Type: closed-ended finite answer set non-binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"neural networks";"closed-ended finite answer set non-binary non-visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"neural networks";"closed-ended finite answer set binary non-visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"


Figure Type: pie chart
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"pie chart";"closed-ended finite answer set non-binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.83";"0.81";"0.85"
"pie chart";"closed-ended finite answer set non-binary non-visual";"0.4";"1.0";"0.25";"0.4";"1.0";"0.25";"0.81";"0.88";"0.75"


Figure Type: histogram
QA Type: closed-ended finite answer set binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"histogram";"closed-ended finite answer set binary visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"

