instance_id;figure_id;image_file;dynamic_prompt;answer_options;figure_type;qa_pair_type;caption;question;gold;prediction;rouge1_fmeasure;rougeL_fmeasure;bertscore_f1
0e66ca115b7a79de916a4d1419d1abc6;2002.12549v1-Figure1-1;2002.12549v1-Figure1-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 1: The UNMT and SNMT performance as the word noise (a value) and word order noise (b value) increases on the noisy En-Fr newstest2014 set.'.
Question: Is the orange dot higher than the blue dot at a = 0 in the left plot?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended finite answer set binary visual;Figure 1: The UNMT and SNMT performance as the word noise (a value) and word order noise (b value) increases on the noisy En-Fr newstest2014 set.;Is the orange dot higher than the blue dot at a = 0 in the left plot?;No;Yes.;0.0;0.0;0.9438908696174622
08133487a5cece64083cfcd863195d05;1802.03606v1-Figure7-1;1802.03606v1-Figure7-1.png;"You are looking at a line chart.
The caption is: 'Figure 7. Hadoop vs console test'.
Question: Is the red line consistently above the blue line in the graph?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended finite answer set binary visual;Figure 7. Hadoop vs console test;Is the red line consistently above the blue line in the graph?;Yes;No.;0.0;0.0;0.9541510343551636
eefcb73980c9e91bc4f19e45828bb5ba;1811.02549v6-Figure4-1;1811.02549v6-Figure4-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 4: Results on the EMNLP 2017 News dataset. (lower is better for all metrics). MLE under a temperature sweep achieves better quality-diversity trade-off compared to the GAN approaches.'.
Question: Is the blue line representing RL-GAN consistently higher than the red line representing MLE on the right plot?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended finite answer set binary visual;Figure 4: Results on the EMNLP 2017 News dataset. (lower is better for all metrics). MLE under a temperature sweep achieves better quality-diversity trade-off compared to the GAN approaches.;Is the blue line representing RL-GAN consistently higher than the red line representing MLE on the right plot?;Yes;No.;0.0;0.0;0.9541510343551636
9d6caf2b4516c90f1e31da3dfd7621e5;2010.04736v1-Figure13-1;2010.04736v1-Figure13-1.png;"You are looking at a line chart with 3 subfigures.
The caption is: 'Figure 13: Accuracy, sufficiency and comprehensiveness of random forest models by number of estimators.'.
Question: Which line (colored differently) represents the ""Movie"" model for 'normalized sufficiency' (panel b)?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'The green line', 'B': 'The red line', 'C': 'The orange line', 'D': 'The blue line'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""The green line"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""The red line"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""The orange line"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""The blue line""}]";line chart;closed-ended finite answer set non-binary visual;Figure 13: Accuracy, sufficiency and comprehensiveness of random forest models by number of estimators.;"Which line (colored differently) represents the ""Movie"" model for 'normalized sufficiency' (panel b)?";A;C;0.0;0.0;0.9968453645706176
54b73ac1254bac120f3242343ef1f54a;1705.02304v1-Figure4-1;1705.02304v1-Figure4-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 4: The effect of softmax pre-training, trained and measured in Train50k and Eva200 dataset, using ResCNN network architecture. (a) accuracy (ACC) vs epoch trained and (b) equal error rate (EER) vs epoch trained'.
Question: Which line in the bottom graph represents the model with pre-training?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'The red line', 'B': 'The blue line', 'C': 'Both lines', 'D': 'Neither line'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""The red line"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""The blue line"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Both lines"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Neither line""}]";line chart;closed-ended finite answer set non-binary visual;Figure 4: The effect of softmax pre-training, trained and measured in Train50k and Eva200 dataset, using ResCNN network architecture. (a) accuracy (ACC) vs epoch trained and (b) equal error rate (EER) vs epoch trained;Which line in the bottom graph represents the model with pre-training?;B;A;0.0;0.0;0.9975547790527344
ed8133d4d9f514fb41bcb814d15995ed;2020.acl-main.72.pdf-Figure7;2020.acl-main.72.pdf-Figure7.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 7: Hit ratio (|Ui|/|C|) in terms of each iteration number by LR, +Fd(p), and HB. The upper and lower graphs start with one and three seeds, respectively.'.
Question: What is the marker shape for the blue line?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Square', 'B': 'Circle', 'C': 'Triangle', 'D': 'X'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Square"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Circle"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Triangle"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""X""}]";line chart;closed-ended finite answer set non-binary visual;Figure 7: Hit ratio (|Ui|/|C|) in terms of each iteration number by LR, +Fd(p), and HB. The upper and lower graphs start with one and three seeds, respectively.;What is the marker shape for the blue line?;A;B;0.0;0.0;0.9975547790527344
b88830202f0cb1e319b4e57787eb6ccb;N18-1125.pdf-Figure2;N18-1125.pdf-Figure2.png;"You are looking at a neural networks.
The caption is: 'Figure 2: One slice of the architecture of Neural Machine Translation based on a generic attention.'.
Question: Which of the following elements are directly influenced by both ""h"" and ""si-1""?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'αi', 'B': 'si', 'C': 'yi', 'D': 'ci'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""αi"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""si"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""yi"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""ci""}]";neural networks;closed-ended finite answer set non-binary non-visual;Figure 2: One slice of the architecture of Neural Machine Translation based on a generic attention.;"Which of the following elements are directly influenced by both ""h"" and ""si-1""?";A;B;0.0;0.0;0.9975547790527344
6fa3ce3e38b022b8843c42826fe64744;1310.7782v2-Figure5-1;1310.7782v2-Figure5-1.png;"You are looking at a Line Chart.
The caption is: 'Figure 5. Numerical World Color Survey with human JNDs: weakness of the bias. The histogram of the squared distance d = ∑14 i=1(xi − xi) 2 between the position of the i-th centroid and its average (“typical”) value. Black data represent the statistics of those populations displaying 14 linguistic categories at the end of Category Game simulations with the human JND, which were roughly ∼ 1300 of the total 5000 considered populations. The inset displays the actual values of d for each population. Green and red data come from a “Random” model where each “language” is produced by a uniform random distribution of 14 category centroids. A random case with a very large number of languages (red curve) represents the “ideal” statistics of such a model. The distances d from the average pattern (shown in the inset) appear to have a larger average drand than the Category Game model dCG (where by d we refer to the mean value of the random and the CG cases, respectively), but since we are interested in the fluctuations we have rescaled the random model data, dividing them by drand/dCG, in order to compare the histograms. A power law fit ∼ x−3 is also shown as a guide for the eye.'.
Question: Which of the following lines represent a random model with 1300 languages?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Green dashed line', 'B': 'Red dashed line', 'C': 'Black dots', 'D': 'Purple dashed line'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Green dashed line"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Red dashed line"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Black dots"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Purple dashed line""}]";Line Chart;closed-ended finite answer set non-binary visual;Figure 5. Numerical World Color Survey with human JNDs: weakness of the bias. The histogram of the squared distance d = ∑14 i=1(xi − xi) 2 between the position of the i-th centroid and its average (“typical”) value. Black data represent the statistics of those populations displaying 14 linguistic categories at the end of Category Game simulations with the human JND, which were roughly ∼ 1300 of the total 5000 considered populations. The inset displays the actual values of d for each population. Green and red data come from a “Random” model where each “language” is produced by a uniform random distribution of 14 category centroids. A random case with a very large number of languages (red curve) represents the “ideal” statistics of such a model. The distances d from the average pattern (shown in the inset) appear to have a larger average drand than the Category Game model dCG (where by d we refer to the mean value of the random and the CG cases, respectively), but since we are interested in the fluctuations we have rescaled the random model data, dividing them by drand/dCG, in order to compare the histograms. A power law fit ∼ x−3 is also shown as a guide for the eye.;Which of the following lines represent a random model with 1300 languages?;A;B;0.0;0.0;0.9975547790527344
7e045cc686098f3bf59ae4d1aefd1bf6;2002.10375v2-Figure2-1;2002.10375v2-Figure2-1.png;"You are looking at a line chart.
The caption is: 'Figure 2. Accuracy of two discriminators: one is given access to the source context x while the other is not. The x-axis corresponds to the length of the discriminated sub-sequences.'.
Question: What is the accuracy value of the blue line at t=120?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '0.95', 'B': '0.85', 'C': '0.75', 'D': 'between 0.95 and 100'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""0.95"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""0.85"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""0.75"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""between 0.95 and 100""}]";line chart;closed-ended finite answer set non-binary visual;Figure 2. Accuracy of two discriminators: one is given access to the source context x while the other is not. The x-axis corresponds to the length of the discriminated sub-sequences.;What is the accuracy value of the blue line at t=120?;D;A;0.0;0.0;0.9985132813453674
0cba32b024551086faaedb3265b600b6;1106.4571v1-Figure16-1;1106.4571v1-Figure16-1.png;"You are looking at a line chart.
The caption is: 'Figure 16: Baseline Artificial Corpus'.
Question: How many dots are there before training example 200?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '3', 'B': '5', 'C': '1', 'D': '4'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""3"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""5"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""1"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""4""}]";line chart;closed-ended finite answer set non-binary visual;Figure 16: Baseline Artificial Corpus;How many dots are there before training example 200?;A;D;0.0;0.0;0.9985132813453674
c2f39c130bfd95abc725622d04f90f3f;1810.00664v1-Figure2-1;1810.00664v1-Figure2-1.png;"You are looking at a line chart with 9 subfigures.
The caption is: 'Fig. 2. Hyper-parameter tuning of D2V for each testing scenario.'.
Question: Which plot shows the green line above the red line?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Top-left plot', 'B': 'Top-right plot', 'C': 'Bottom-left', 'D': 'None'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Top-left plot"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Top-right plot"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Bottom-left"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""None""}]";line chart;closed-ended finite answer set non-binary visual;Fig. 2. Hyper-parameter tuning of D2V for each testing scenario.;Which plot shows the green line above the red line?;D;A;0.0;0.0;0.9985132813453674
d0c492fc723abf319efed2a700c05d29;2007.03184v1-Figure5-1;2007.03184v1-Figure5-1.png;"You are looking at a Line Chart with 4 subfigures.
The caption is: 'Fig. 5: Sensitivity analysis of maximum length of input sequence'.
Question: Which task(s) show a consistently decreasing trend in performance as the length of input sequence increases?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Link perdition', 'B': 'Similarity search', 'C': 'Node classification', 'D': 'None of the above'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Link perdition"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Similarity search"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Node classification"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""None of the above""}]";Line Chart;closed-ended finite answer set non-binary non-visual;Fig. 5: Sensitivity analysis of maximum length of input sequence;Which task(s) show a consistently decreasing trend in performance as the length of input sequence increases?;D;A;0.0;0.0;0.9985132813453674
6acc2a4b3bbaa3cbba93ba68cc0ec3ae;S19-2111.pdf-Figure5;S19-2111.pdf-Figure5.png;"You are looking at a confusion matrix.
The caption is: 'Figure 5: Sub-task B, HAD-Tubingen LSTM + Preprocessing.'.
Question: Do larger numbers in the cells always correspond to a higher value on the gradient bar?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Please answer with 'Yes' or 'No' only.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];confusion matrix;closed-ended finite answer set binary non-visual;Figure 5: Sub-task B, HAD-Tubingen LSTM + Preprocessing.;Do larger numbers in the cells always correspond to a higher value on the gradient bar?;No;Yes;0.0;0.0;0.9992688894271852
81ccdf247d426da934cadf38fa24a852;N18-1113.pdf-Figure2;N18-1113.pdf-Figure2.png;"You are looking at a Architecture Diagram.
The caption is: 'Figure 2: The Reinforced Co-Training framework.'.
Question: Which of the following is true about the arrows in the figure? 
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'All arrows point to the right.', 'B': 'All arrows point to the left.', 'C': 'All arrows point either to the right or to the left.', 'D': 'None of the above'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""All arrows point to the right."", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""All arrows point to the left."", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""All arrows point either to the right or to the left."", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""None of the above""}]";Architecture Diagram;closed-ended finite answer set non-binary visual;Figure 2: The Reinforced Co-Training framework.;Which of the following is true about the arrows in the figure? ;D;C;0.0;0.0;0.9993806481361388
4925f7580567fd94d65642c5e55100b4;2010.12487v1-Figure13-1;2010.12487v1-Figure13-1.png;"You are looking at a box plot with 2 subfigures.
The caption is: 'Figure 13: Influence of the number of perturbed samples on the explanation given for a small decision tree on a Yelp review (ν = 0.25, nexp = 100, d = 29). Left panel: n = 50, right panel: n = 8000. Empirical values are less likely to be close to the theoretical predictions for small n.'.
Question: Which of the following values has no word with theoretical prediction equal to it?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '0.00', 'B': '0.20', 'C': '0.40', 'D': '0.60'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""0.00"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""0.20"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""0.40"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""0.60""}]";box plot;closed-ended finite answer set non-binary non-visual;Figure 13: Influence of the number of perturbed samples on the explanation given for a small decision tree on a Yelp review (ν = 0.25, nexp = 100, d = 29). Left panel: n = 50, right panel: n = 8000. Empirical values are less likely to be close to the theoretical predictions for small n.;Which of the following values has no word with theoretical prediction equal to it?;C;D;0.0;0.0;0.9993806481361388
5ffdc73aabfd1a09501c8ebb84f39bb6;2020.acl-main.174.pdf-Figure4;2020.acl-main.174.pdf-Figure4.png;"You are looking at a pie chart.
The caption is: 'Figure 4: Average composition of a CSI summary based on different crime-related aspects.'.
Question: The slice of which aspect lies at the bottom of the pie chart?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Crime scene', 'B': 'Perpetrator', 'C': 'Cause of death', 'D': 'Motive'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Crime scene"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Perpetrator"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Cause of death"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Motive""}]";pie chart;closed-ended finite answer set non-binary visual;Figure 4: Average composition of a CSI summary based on different crime-related aspects.;The slice of which aspect lies at the bottom of the pie chart?;C;D;0.0;0.0;0.9993806481361388
55215f3d30066961b1e92fc097bdc10e;2020.acl-main.39.pdf-Figure6;2020.acl-main.39.pdf-Figure6.png;"You are looking at a bar chart.
The caption is: 'Figure 6: SeqAcc for the Location Attender and best baseline on the Long Lookup Tables task (10 runs).'.
Question: Which dataset shows the lowest value for blue bar?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Long 1', 'B': 'Long 4', 'C': 'Long 5', 'D': 'Long 3'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Long 1"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Long 4"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Long 5"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Long 3""}]";bar chart;closed-ended finite answer set non-binary visual;Figure 6: SeqAcc for the Location Attender and best baseline on the Long Lookup Tables task (10 runs).;Which dataset shows the lowest value for blue bar?;C;D;0.0;0.0;0.9993806481361388
